Company,Website,Email,Status,Answer ?,First Line,Recipient Name,Greeting,RowNum,Stage,,,,,,,,,,,,,,,,,
Alexa Capital,https://www.alexa-capital.com/,info@alexa-capital.com,,,,,"Hi Alexa Capital team,",2,,,,,,,,,,,,,,,,,,
ARIE Capital,http://www.ariecapital.com/,info@ariecapital.com,,,,,"Hi ARIE Capital team,",3,,,,,,,,,,,,,,,,,,
LAVA Advisory Partners,http://www.lavaadvisory.com/,hello@lavaadvisory.com,,,,,"Hi LAVA Advisory Partners team,",4,,,,,,,,,,,,,,,,,,
Capstan Capital Partners,http://www.capstan-capital.com/,info@capstan-capital.com,,,,,"Hi Capstan Capital Partners team,",5,,,,,,,,,,,,,,,,,,
Arkstons Advisory,http://www.arkstons.com/,contact@arkstons.com,,,,,"Hi Arkstons Advisory team,",6,,,,,,,,,,,,,,,,,,
Dial Partners,http://www.dial-partners.com/,info@dial-partners.com,,,,,"Hi Dial Partners team,",7,,,,,,,,,,,,,,,,,,
Hines Associates Ltd.,http://www.hinesassociates.com/,info@hinesassociates.com,,,,,"Hi Hines Associates Ltd. team,",8,,,,,,,,,,,,,,,,,,
House Mining Investment,https://house-mining.com/,support@house-mining.com,,,,,"Hi House Mining Investment team,",9,,,,,,,,,,,,,,,,,,
Savo,https://www.savo.earth/,info@savo.earth,,,,,"Hi Savo team,",10,,,,,,,,,,,,,,,,,,
Winchester Capital,http://www.winchestercapital.com/,info@winchestercapital.com,,,,,"Hi Winchester Capital team,",11,,,,,,,,,,,,,,,,,,
Collins Dale Capital Partners,http://www.collinsdale.com/,info@collinsdale.com,,,,,"Hi Collins Dale Capital Partners team,",12,,,,,,,,,,,,,,,,,,
African Capital Investments,http://www.aci.africa/,info@aci.africa,,,,,"Hi African Capital Investments team,",13,,,,,,,,,,,,,,,,,,
Quercus International,http://www.quercuscf.co.uk/,hello@quercuscf.co.uk,,,,,"Hi Quercus International team,",14,,,,,,,,,,,,,,,,,,
Nucleus Finance,http://nucleusfinance.com/,info@nucleusfinance.com,,,,,"Hi Nucleus Finance team,",15,,,,,,,,,,,,,,,,,,
